Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
3,47,10,7,2011,2.412,0.306,maternal sib,2.200,1.000,0.833,0.941,0.928,0,1,0,0
3,48,19,7,2010,0.091,0.000,maternal non-kin,13.900,0.000,0.857,0.896,0.898,0,0,0,1
3,48,19,7,2011,1.284,0.000,maternal non-kin,13.900,0.000,0.833,0.837,0.928,0,0,0,0
3,49,22,7,2009,1.096,0.036,maternal non-kin,11.900,0.000,0.800,0.851,0.903,1,0,0,1
3,49,22,7,2010,0.364,0.036,maternal non-kin,11.900,0.286,0.857,0.754,0.898,1,0,0,1
3,49,22,7,2011,0.814,0.036,maternal non-kin,11.900,0.167,0.833,0.828,0.928,0,0,0,0
3,50,25,7,2005,0.572,0.000,maternal non-kin,4.800,0.750,0.500,NA,NA,0,1,0,1
3,50,25,7,2006,1.227,0.000,maternal non-kin,4.800,0.500,0.750,NA,NA,0,1,0,1
3,50,25,7,2007,1.299,0.000,maternal non-kin,4.800,0.250,0.750,NA,NA,1,0,0,1
3,50,25,7,2008,0.383,0.000,maternal non-kin,4.800,0.250,0.750,NA,NA,0,0,0,1
3,50,25,7,2009,0.735,0.000,maternal non-kin,4.800,0.600,0.800,0.750,0.903,0,0,0,1
3,50,25,7,2010,0.516,0.000,maternal non-kin,4.800,0.714,0.857,0.812,0.898,1,0,0,1
3,50,25,7,2011,0.336,0.000,maternal non-kin,4.800,0.500,0.833,0.830,0.928,0,0,0,0
3,51,31,7,2010,0.216,0.181,maternal non-kin,13.400,0.143,0.857,0.817,0.898,0,0,0,1
1,52,11,8,2007,3.071,0.642,full sib,2.000,0.000,0.500,NA,NA,0,0,1,0
1,52,11,8,2008,1.471,0.642,full sib,2.000,0.167,0.667,NA,NA,0,0,0,0
1,52,11,8,2009,1.859,0.642,full sib,2.000,0.556,0.778,0.810,0.809,0,0,0,1
1,52,11,8,2010,0.672,0.642,full sib,2.000,0.600,0.700,0.758,0.845,0,0,0,0
1,52,11,8,2011,3.574,0.642,full sib,2.000,0.500,0.700,0.875,0.887,0,0,0,0
1,53,18,8,2009,0.106,0.038,maternal non-kin,3.800,0.000,0.778,0.729,0.809,0,0,0,1
1,53,18,8,2010,2.113,0.038,maternal non-kin,3.800,0.100,0.700,0.921,0.845,1,0,0,0
1,53,18,8,2011,0.767,0.038,maternal non-kin,3.800,0.600,0.700,0.887,0.887,1,0,0,0
1,54,26,8,2006,0.655,0.000,maternal non-kin,0.600,0.600,0.400,NA,NA,0,0,0,0
1,54,26,8,2007,1.793,0.000,maternal non-kin,0.600,0.833,0.500,NA,NA,0,1,1,0
1,54,26,8,2008,1.244,0.000,maternal non-kin,0.600,0.833,0.667,NA,NA,0,0,0,0
1,54,26,8,2009,0.292,0.000,maternal non-kin,0.600,0.889,0.778,0.841,0.809,0,0,0,1
1,54,26,8,2010,0.853,0.000,maternal non-kin,0.600,0.900,0.700,0.951,0.845,0,0,0,0
